playerId,playerName,deviceId,soccerFieldId,raw_time,epoch_time,session,latitude,longitude,altitude,satellite,pdop,speed,heading,accX,accY,accZ,rotX,rotY,rotZ,pitch,roll,temp,step,crc,cnt,synced
,,,,1776019865.20016455650329590,12.04.2026 18:51:05.200,1,48.24014664,16.33668900,218.30400085,30,1.04999995,0.09800000,123.57164001,8120,766,-1680,501,-41,-357,-103.94924164,8.16719246,-432,3383,5706,43528,0
,,,,1776019865.70016431808471680,12.04.2026 18:51:05.700,1,48.24014282,16.33668900,218.30200195,28,0.99000001,0.08100000,123.57164001,8192,1454,-2502,-196,-844,-425,-109.45381165,6.89557600,-432,3383,4543,43529,0
,,,,1776019866.30016422271728516,12.04.2026 18:51:06.300,1,48.24014282,16.33668900,218.30700684,31,0.91000003,0.12700000,188.96696472,7072,2506,-2960,1461,-947,25,-112.84938812,17.55538940,-448,3383,16973,43530,0
,,,,1776019866.70016407966613770,12.04.2026 18:51:06.700,1,48.24014282,16.33668709,218.28599548,30,0.99000001,0.50000000,243.08445740,5980,-1634,-5258,-286,-2355,1601,-120.03179932,25.08795547,-432,3383,29327,43531,0
,,,,1776019867.20016384124755859,12.04.2026 18:51:07.200,1,48.24014282,16.33668518,218.29200745,30,0.94999999,0.52899998,217.86149597,3128,-668,-8328,-1272,-3528,959,-151.86598206,14.35371304,-432,3383,27377,43532,0
,,,,1776019867.70016360282897949,12.04.2026 18:51:07.700,1,48.24013901,16.33668518,218.21499634,30,0.99000001,0.36199999,189.59318542,852,6,-10360,-129,849,-13,-167.05593872,10.79863358,-432,3383,50744,43533,0
,,,,1776019868.30016326904296875,12.04.2026 18:51:08.300,1,48.24013901,16.33668518,218.26199341,30,0.94000000,0.34299999,87.43296051,5602,468,-5086,-1175,5212,3,-131.47761536,2.43239045,-432,3384,45391,43534,0
,,,,1776019868.80016303062438965,12.04.2026 18:51:08.800,1,48.24013901,16.33668709,218.21899414,30,0.94000000,0.23700000,92.91915894,7248,1730,-2972,108,1712,-371,-112.65190125,-0.04574260,-416,3386,18299,43535,0
,,,,1776019869.20016288757324219,12.04.2026 18:51:09.200,1,48.24013901,16.33668709,218.19000244,30,0.99000001,0.02700000,92.91915894,7540,442,-3034,198,-82,-80,-110.81329346,2.86468768,-432,3387,55736,43536,0
,,,,1776019869.80016255378723145,12.04.2026 18:51:09.800,1,48.24013901,16.33668709,218.16900635,30,0.94000000,0.06400000,127.14304352,7512,624,-3442,-404,379,28,-111.89051056,3.45244384,-416,3387,3654,43537,0
